BIB_ID,MFHD_ID,ITEM_ID,LOCATION_NAME,Expr1004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2408213,2554683,2866812,Sib Music Recording Stks,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2408213,2554683,2866812,Sib Music Recording Stks,Cataloging Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2408213,2554681,2866811,Sib Music Recording Stks,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2408213,2554681,2866811,Sib Music Recording Stks,Cataloging Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2408179,2554642,2866776,Multimedia Reserve,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2408209,2554678,2866805,Sib Music Recording Stks,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2408209,2554678,2866805,Sib Music Recording Stks,Cataloging Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2408184,2554647,2866783,Multimedia Reserve,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2408180,2554644,2866779,Multimedia Reserve,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
771017,2554680,2866808,Sib Music Recording Stks,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2408209,2554679,2866806,Sib Music Recording Stks,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2408209,2554679,2866806,Sib Music Recording Stks,Cataloging Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2393535,2554629,2866755,Sib Music Recording Stks,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2393535,2554627,2866753,Sib Music Recording Stks,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2393535,2554625,2866750,Sib Music Recording Stks,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2393544,2531571,2866670,Sib Music Recording Stks,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2393543,2531570,2866669,Sib Music Recording Stks,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2393540,2531567,2866668,Sib Music Recording Stks,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2393539,2531566,2866667,Sib Music Recording Stks,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2407845,2554300,2866666,Sib Music Recording Stks,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2407844,2554299,2866665,Sib Music Recording Stks,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2174549,2311636,2866838,Sib Music Collected Wrks,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2336507,2467961,2866813,Sib Music Collected Wrks,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2408047,2554505,2866658,Sib Music Storage Folios,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2408047,2554505,2866658,Sib Music Storage Folios,Cataloging Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1093118,1202000,2866839,Rhees Stacks,Not Charged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
